"144","Matchday 2","West Germany (-1989)","Italy","1962-05-31 12:00:00.000000","0","0",,,,,"0"
"145","Matchday 3","Chile","Italy","1962-06-02 12:00:00.000000","2","0",,,,,"1"
"146","Matchday 4","West Germany (-1989)","Switzerland","1962-06-03 12:00:00.000000","2","1",,,,,"1"
"147","Matchday 5","West Germany (-1989)","Chile","1962-06-06 12:00:00.000000","2","0",,,,,"1"
"148","Matchday 6","Italy","Switzerland","1962-06-07 12:00:00.000000","3","0",,,,,"1"
"149","Matchday 1","Brazil","Mexico","1962-05-30 12:00:00.000000","2","0",,,,,"1"
"150","Matchday 2","Czechoslovakia (-1992)","Spain","1962-05-31 12:00:00.000000","1","0",,,,,"1"
"151","Matchday 3","Brazil","Czechoslovakia (-1992)","1962-06-02 12:00:00.000000","0","0",,,,,"0"
"152","Matchday 4","Spain","Mexico","1962-06-03 12:00:00.000000","1","0",,,,,"1"
"153","Matchday 5","Brazil","Spain","1962-06-06 12:00:00.000000","2","1",,,,,"1"
"154","Matchday 6","Mexico","Czechoslovakia (-1992)","1962-06-07 12:00:00.000000","3","1",,,,,"1"
"155","Matchday 1","Argentina","Bulgaria","1962-05-30 12:00:00.000000","1","0",,,,,"1"
"156","Matchday 2","Hungary","England","1962-05-31 12:00:00.000000","2","1",,,,,"1"
"157","Matchday 3","England","Argentina","1962-06-02 12:00:00.000000","3","1",,,,,"1"
"158","Matchday 4","Hungary","Bulgaria","1962-06-03 12:00:00.000000","6","1",,,,,"1"
"159","Matchday 5","Hungary","Argentina","1962-06-06 12:00:00.000000","0","0",,,,,"0"
"160","Matchday 6","England","Bulgaria","1962-06-07 12:00:00.000000","0","0",,,,,"0"
"161","Quarter-finals","Chile","Soviet Union (-1991)","1962-06-10 12:00:00.000000","2","1",,,,,"1"
"162","Quarter-finals","Yugoslavia (-2003)","West Germany (-1989)","1962-06-10 12:00:00.000000","1","0",,,,,"1"
"163","Quarter-finals","Brazil","England","1962-06-10 12:00:00.000000","3","1",,,,,"1"
"164","Quarter-finals","Czechoslovakia (-1992)","Hungary","1962-06-10 12:00:00.000000","1","0",,,,,"1"
"165","Semi-finals","Brazil","Chile","1962-06-13 12:00:00.000000","4","2",,,,,"1"
"166","Semi-finals","Czechoslovakia (-1992)","Yugoslavia (-2003)","1962-06-13 12:00:00.000000","3","1",,,,,"1"
"167","Third-place match","Chile","Yugoslavia (-2003)","1962-06-16 12:00:00.000000","1","0",,,,,"1"
"168","Final","Brazil","Czechoslovakia (-1992)","1962-06-17 12:00:00.000000","3","1",,,,,"1"
"169","Matchday 1","England","Uruguay","1966-07-11 12:00:00.000000","0","0",,,,,"0"
"170","Matchday 3","France","Mexico","1966-07-13 12:00:00.000000","1","1",,,,,"0"
"171","Matchday 4","Uruguay","France","1966-07-15 12:00:00.000000","2","1",,,,,"1"
"172","Matchday 5","England","Mexico","1966-07-16 12:00:00.000000","2","0",,,,,"1"
"173","Matchday 6","Mexico","Uruguay","1966-07-19 12:00:00.000000","0","0",,,,,"0"
"174","Matchday 7","England","France","1966-07-20 12:00:00.000000","2","0",,,,,"1"
"175","Matchday 2","West Germany (-1989)","Switzerland","1966-07-12 12:00:00.000000","5","0",,,,,"1"
"176","Matchday 3","Argentina","Spain","1966-07-13 12:00:00.000000","2","1",,,,,"1"
"177","Matchday 4","Spain","Switzerland","1966-07-15 12:00:00.000000","2","1",,,,,"1"
"178","Matchday 5","Argentina","West Germany (-1989)","1966-07-16 12:00:00.000000","0","0",,,,,"0"
"179","Matchday 6","Argentina","Switzerland","1966-07-19 12:00:00.000000","2","0",,,,,"1"
"180","Matchday 7","West Germany (-1989)","Spain","1966-07-20 12:00:00.000000","2","1",,,,,"1"
"181","Matchday 2","Brazil","Bulgaria","1966-07-12 12:00:00.000000","2","0",,,,,"1"
"182","Matchday 3","Portugal","Hungary","1966-07-13 12:00:00.000000","3","1",,,,,"1"
"183","Matchday 4","Hungary","Brazil","1966-07-15 12:00:00.000000","3","1",,,,,"1"
"184","Matchday 5","Portugal","Bulgaria","1966-07-16 12:00:00.000000","3","0",,,,,"1"
"185","Matchday 6","Portugal","Brazil","1966-07-19 12:00:00.000000","3","1",,,,,"1"
"186","Matchday 7","Hungary","Bulgaria","1966-07-20 12:00:00.000000","3","1",,,,,"1"
"187","Matchday 2","Soviet Union (-1991)","North Korea","1966-07-12 12:00:00.000000","3","0",,,,,"1"
"188","Matchday 3","Italy","Chile","1966-07-13 12:00:00.000000","2","0",,,,,"1"
"189","Matchday 4","Chile","North Korea","1966-07-15 12:00:00.000000","1","1",,,,,"0"
"190","Matchday 5","Soviet Union (-1991)","Italy","1966-07-16 12:00:00.000000","1","0",,,,,"1"
"191","Matchday 6","North Korea","Italy","1966-07-19 12:00:00.000000","1","0",,,,,"1"
"192","Matchday 7","Soviet Union (-1991)","Chile","1966-07-20 12:00:00.000000","2","1",,,,,"1"
"193","Quarter-finals","England","Argentina","1966-07-23 12:00:00.000000","1","0",,,,,"1"
"194","Quarter-finals","West Germany (-1989)","Uruguay","1966-07-23 12:00:00.000000","4","0",,,,,"1"
"195","Quarter-finals","Soviet Union (-1991)","Hungary","1966-07-23 12:00:00.000000","2","1",,,,,"1"
"196","Quarter-finals","Portugal","North Korea","1966-07-23 12:00:00.000000","5","3",,,,,"1"
"197","Semi-finals","West Germany (-1989)","Soviet Union (-1991)","1966-07-25 12:00:00.000000","2","1",,,,,"1"
"198","Semi-finals","England","Portugal","1966-07-26 12:00:00.000000","2","1",,,,,"1"
"199","Third-place match","Portugal","Soviet Union (-1991)","1966-07-28 12:00:00.000000","2","1",,,,,"1"
"200","Final","England","West Germany (-1989)","1966-07-30 12:00:00.000000","2","2","4","2",,,"1"
"201","Matchday 1","Mexico","Soviet Union (-1991)","1970-05-31 12:00:00.000000","0","0",,,,,"0"
"202","Matchday 3","Belgium","El Salvador","1970-06-03 12:00:00.000000","3","0",,,,,"1"
"203","Matchday 4","Soviet Union (-1991)","Belgium","1970-06-06 12:00:00.000000","4","1",,,,,"1"
"204","Matchday 5","Mexico","El Salvador","1970-06-07 12:00:00.000000","4","0",,,,,"1"
"205","Matchday 6","Soviet Union (-1991)","El Salvador","1970-06-10 12:00:00.000000","2","0",,,,,"1"
"206","Matchday 7","Mexico","Belgium","1970-06-11 12:00:00.000000","1","0",,,,,"1"
"207","Matchday 2","Uruguay","Israel","1970-06-02 12:00:00.000000","2","0",,,,,"1"
"208","Matchday 3","Italy","Sweden","1970-06-03 12:00:00.000000","1","0",,,,,"1"
"209","Matchday 4","Uruguay","Italy","1970-06-06 12:00:00.000000","0","0",,,,,"0"
"210","Matchday 5","Sweden","Israel","1970-06-07 12:00:00.000000","1","1",,,,,"0"
"211","Matchday 6","Uruguay","Sweden","1970-06-10 12:00:00.000000","0","1",,,,,"2"
"212","Matchday 7","Israel","Italy","1970-06-11 12:00:00.000000","0","0",,,,,"0"
"213","Matchday 2","Romania","England","1970-06-02 12:00:00.000000","0","1",,,,,"2"
"214","Matchday 3","Czechoslovakia (-1992)","Brazil","1970-06-03 12:00:00.000000","1","4",,,,,"2"
"215","Matchday 4","Romania","Czechoslovakia (-1992)","1970-06-06 12:00:00.000000","2","1",,,,,"1"
"216","Matchday 5","England","Brazil","1970-06-07 12:00:00.000000","0","1",,,,,"2"
"217","Matchday 6","Romania","Brazil","1970-06-10 12:00:00.000000","2","3",,,,,"2"
"218","Matchday 7","England","Czechoslovakia (-1992)","1970-06-11 12:00:00.000000","1","0",,,,,"1"
"219","Matchday 2","Peru","Bulgaria","1970-06-02 12:00:00.000000","3","2",,,,,"1"
"220","Matchday 3","Morocco","West Germany (-1989)","1970-06-03 12:00:00.000000","1","2",,,,,"2"
"221","Matchday 4","Peru","Morocco","1970-06-06 12:00:00.000000","3","0",,,,,"1"
